date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:59:10	2368/2368	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225ac04077-940%22	https://static.itch.io/images/itchio-textless-white.svg	C:/Benim%20Web%20Sitem/sa/static.itch.io/images/itchio-textless-white.svg	(from https://static.itch.io/game.css?1647482983)
07:59:10	35251/35251	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225ac04077-89b3%22	https://static.itch.io/images/logo-textless-white-holiday.svg	C:/Benim%20Web%20Sitem/sa/static.itch.io/images/logo-textless-white-holiday.svg	(from https://static.itch.io/game.css?1647482983)
07:59:10	2773/2773	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225db1d9ca-ad5%22	https://static.itch.io/images/itchio-textless-white-halloween.svg?2	C:/Benim%20Web%20Sitem/sa/static.itch.io/images/itchio-textless-white-halloweenc81e.svg	(from https://static.itch.io/game.css?1647482983)
07:59:11	12688/12688	---M--	200	added ('OK')	application/octet-stream	etag:%225ac04077-3190%22	https://static.itch.io/icons/fonts/icomoon.eot?4ibnvg	C:/Benim%20Web%20Sitem/sa/static.itch.io/icons/fonts/icomoon053c.eot	(from https://static.itch.io/game.css?1647482983)
07:59:11	12524/12524	---MCZ	200	added ('OK')	text/plain	etag:W/%225ac04077-30ec%22	https://static.itch.io/icons/fonts/icomoon.ttf?4ibnvg	C:/Benim%20Web%20Sitem/sa/static.itch.io/icons/fonts/icomoon053c.ttf	(from https://static.itch.io/game.css?1647482983)
07:59:11	12600/12600	---MCZ	200	added ('OK')	text/plain	etag:W/%225ac04077-3138%22	https://static.itch.io/icons/fonts/icomoon.woff?4ibnvg	C:/Benim%20Web%20Sitem/sa/static.itch.io/icons/fonts/icomoon053c.woff	(from https://static.itch.io/game.css?1647482983)
07:59:12	40264/40264	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225ac04077-9d48%22	https://static.itch.io/icons/fonts/icomoon.svg?4ibnvg	C:/Benim%20Web%20Sitem/sa/static.itch.io/icons/fonts/icomoon053c.svg	(from https://static.itch.io/game.css?1647482983)
07:59:13	917/917	---MC-	200	added ('OK')	text/javascript	date:Thu,%2017%20Mar%202022%2004:59:14%20GMT	https://www.google.com/recaptcha/api.js?onload=_itch_recaptcha_loaded&render=explicit	C:/Benim%20Web%20Sitem/sa/www.google.com/recaptcha/apie757.js	(from https://static.itch.io/bundle.min.js?1647482983)
07:59:13	3097/3097	---M-Z	200	added ('OK')	application/x-javascript	etag:%22b16b3f1562ad6b16ba17594adeb0d56c%22	http://connect.facebook.net/en_GB/sdk.js	C:/Benim%20Web%20Sitem/sa/connect.facebook.net/en_GB/sdk.js	(from https://static.itch.io/bundle.min.js?1647482983)
07:59:14	98744/98744	---M-Z	200	added ('OK')	application/javascript	etag:%22f7f936f48944db7f829585c4368f33ae+gzip%22	http://platform.twitter.com/widgets.js	C:/Benim%20Web%20Sitem/sa/platform.twitter.com/widgets.js	(from https://static.itch.io/bundle.min.js?1647482983)
07:59:15	6224/6224	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2017%20Mar%202022%2004:59:16%20GMT	https://asddsa23.itch.io/ca.gif	C:/Benim%20Web%20Sitem/sa/asddsa23.itch.io/ca.4b.delayed	(from https://static.itch.io/bundle.min.js?1647482983)
07:59:15	6224/6224	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2017%20Mar%202022%2004:59:17%20GMT	https://asddsa23.itch.io/POST	C:/Benim%20Web%20Sitem/sa/asddsa23.itch.io/POST	(from https://static.itch.io/bundle.min.js?1647482983)
07:59:19	150/150	---MCZ	200	added ('OK')	text/plain	etag:W/%225ac04077-f9%22	https://static.itch.io/robots.txt		(from https://static.itch.io/game.css?1647482983)
07:59:21	150/150	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2017%20Mar%202022%2004:59:21%20GMT	https://static.itch.io/home/leafo/snowrepeat.png	C:/Benim%20Web%20Sitem/sa/static.itch.io/home/leafo/snowrepeat.png	(from https://static.itch.io/images/snowrepeat.svg)
07:59:33	158991/158991	---MC-	200	added ('OK')	text/javascript	date:Thu,%2017%20Mar%202022%2004:59:18%20GMT	http://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js	C:/Benim%20Web%20Sitem/sa/pagead2.googlesyndication.com/pagead/js/f.txt	(from https://static.itch.io/game.min.js?1647482983)
07:59:33	178309/178309	---M--	200	added ('OK')	image/jpeg	date:Thu,%2017%20Mar%202022%2004:59:19%20GMT	https://img.itch.zone/aW1nLzg0MzM2NjIuanBn/original/rOjFMi.jpg	C:/Benim%20Web%20Sitem/sa/img.itch.zone/aW1nLzg0MzM2NjIuanBn/original/rOjFMi.jpg	(from https://asddsa23.itch.io/dont-dive-deep)
07:59:34	529039/529039	---M--	200	added ('OK')	image/jpeg	date:Thu,%2017%20Mar%202022%2004:59:19%20GMT	https://img.itch.zone/aW1hZ2UvMTQ0NDc1Mi84NDMzNjQxLmpwZw==/original/vGqF7O.jpg	C:/Benim%20Web%20Sitem/sa/img.itch.zone/aW1hZ2UvMTQ0NDc1Mi84NDMzNjQxLmpwZw==/original/vGqF7O.jpg	(from https://asddsa23.itch.io/dont-dive-deep)
